Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Aaj Ka Laawaris,2006.0,0.0,1,5.7,17.0,328,875,Gajala,Vija Kumar
Aaj Ka Mahaatma,1976.0,170.0,77,3.5,23.0,1357,1764,Rekha,Ranjeet
Aaj Ka Nanha Farishta,2000.0,0.0,38,5.8,8.0,1891,862,Vikas Anand,Raj Babbar
Aaj Ka Ravan,2000.0,128.0,28,4.3,31.0,1259,1305,Gajendra Chauhan,Siddharth Dhawan
Aaj Ka Samson,1991.0,123.0,77,3.1,14.0,1338,811,Sahila Chaddha,Goga Kapoor
Aaj Ka Ye Ghar,1976.0,0.0,269,4.5,10.0,2825,914,Shreeram Lagoo,Romesh Sharma
Aaj Kaa M.L.A. Ram Avtar,1984.0,157.0,39,5.8,65.0,1669,1703,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,1988.0,128.0,39,5.0,26.0,454,2486,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,1990.0,132.0,1,3.3,15.0,2617,920,Raj Babbar,Chunky Panday
Aaj Ke Sholey,1985.0,0.0,90,5.3,37.0,2352,910,Manjula,Amrish Puri
Aaj Ki Awaz,1984.0,137.0,42,5.6,79.0,2213,1668,Smita Patil,Rashmi Chauhan
Aaj Ki Taaza Khabar,1973.0,0.0,162,7.3,88.0,2064,1639,Kiran Kumar,I.S. Johar
Aaj Kie Aurat,1993.0,0.0,39,3.8,14.0,419,920,Dimple Kapadia,Sujata Mehta
Aaja Meri Jaan,1993.0,162.0,409,4.4,30.0,1278,1078,Tanya Singh,Shammi Kapoor
Aaja Nachle,2007.0,137.0,288,6.2,2998.0,261,1168,Darshan Jariwala,Raghuvir Yadav
Aaja Sanam,1968.0,121.0,327,6.7,14.0,3124,715,Tanuja,Deven Verma
Aaja Sanam,1994.0,0.0,327,3.3,7.0,1584,530,Kulbhushan Kharbanda,Ranbir Pushp
Aakhir Kaun Thi Woh?,2000.0,0.0,76,4.4,5.0,473,1668,Raza Murad,Sripradha
Aakhir Kyon?,1985.0,0.0,269,6.6,158.0,1012,1703,Smita Patil,Rakesh Roshan
Aakhree Raasta,1986.0,164.0,29,7.1,1283.0,492,207,Sridevi,Jaya Prada
Aakhri Adaalat,1988.0,148.0,84,5.2,78.0,2102,2487,Dimple Kapadia,Jackie Shroff
Aakhri Baazi,1989.0,149.0,43,4.1,53.0,357,2085,Moushumi Chatterjee,Govinda
Aakhri Badla,1989.0,120.0,29,5.0,21.0,1453,2361,Yogeeta Bali,Abhi Bhattacharya
Aakhri Cheekh,1991.0,0.0,363,4.8,47.0,1296,2452,Javed Khan,Sripradha
Aakhri Daao,1975.0,0.0,29,5.5,29.0,6,920,Saira Banu,Padma Khanna
Aakhri Daku,1978.0,0.0,1,5.6,21.0,1868,1764,Vinod Khanna,Rekha
Aakhri Dao,1958.0,0.0,162,6.4,16.0,1426,1491,Shekhar,Jeevan
